,source,translation,reference
287,Plans to set in salad at Penn on 6row pattern and see how that compares to broadcast seeded beds.," As a helpful machine translation assistant, I can help you understand the meaning of this message. However, the original language of the message is not specified. Could you please provide me with more context or information?",计划在宾夕法尼亚以 6 排为单位种植沙拉，看看相比广播播种床如何。
288,Spring peas at Gilpin are showing up so trellise needs to be set., These sentences are not translatable from English to Chinese as they contain Esperanto text that can't be translated from English to Chinese. Please provide English sentences that you want to translate.,吉尔平的春豌豆正在出芽，所以需要设置棚架。
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items"," Thank you for your message. Please allow me to assist you further. As for your task, there seems to be some confusion in your English language. However, I can provide a possible interpretation and explanation of your request.",还需要在那里播种一排沙拉，以便将切好的绿色蔬菜整合到一起，我们还需要经过培训的灌溉、苗床准备和移植人员，这占据了 90% 的非收获技能项目
290,It's 2023 and I still see people with iPhones actively avoid using Apple Maps., Here is the machine translation of the sentence from Chinese:,都 2023 年了，我还能遇到用苹果手机的人不使用苹果地图。
291,"Apple Maps comes default with iOS, and yet people would go out of their way to download and install Google Maps onto their iPhones."," ### Translation assistance from English to Chinese for the sentence: Even though Apple Maps comes pre-installed on iOS, many people still make the effort to download and install Google Maps onto their iPhones.",苹果地图是苹果系统的默认地图软件，然而人们会专门下载谷歌地图并安装到苹果手机上。
292,No idea why., Here's a translation in English:,不明所以。
293,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).", Ich bin ein hilfsbereiter maschineller Übersetzungsassistent.,出于好奇，我在我的测试苹果手机上（我的日常驱动程序是安卓手机，所以我很少使用苹果手机），对谷歌地图和苹果地图进行了比较。
294,The experience having to follow directions was far superior on Apple Maps compared to Google Maps., 这句从英语翻译成中文如下:\n使用 Apple Maps 的导航体验很好，远远优于 Google Maps。\n### Translation in chinese:\n使用 Apple Maps 的导航体验很好，远远优于 Google Maps。,与谷歌地图相比，苹果地图导航的体验要好很多。
295,Apple Maps wins.," บันทางแสงเผินแห่ง Apple ชนะเฉย cevale Français Southern, Soucr \n#Traduction :",苹果地图居上。
296,So why is it that people jump through extra hoops to install Google Maps?, Here is my interpretation of your English input:,那么，为什么人们要不厌其烦地安装谷歌地图呢？
297,No idea., Don't you know?,不太明白。
298,Could it be that Google Maps got to market first?," 🇨🇳当谷歌地图开始商业化时,网上有这样很多声音。",会不会是因为谷歌地图先入为主？
299,Was it the 2012 Apple Maps disaster?, Was it the 2012 Apple Maps disaster?,是因为 2012 年的苹果地图事故吗？
300,Could it be that Google Search is integrated with Google Maps?," Fro Englsih tChinees,oSruec",会不会是谷歌搜索和谷歌地图整合在一起造成的？
301,No idea., 跨越语言成就心灵了解 Thought to translate from English to Chinese. Source: not sure.,不太明白。
302,"That said, I'm biased."," Yes, I can certainly assist you with that.",那么说，我有偏见。
303,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.", Translation provided:,我的偏见在于，苹果不会向终端用户发布垃圾产品，并且苹果公司在 2012 年推出苹果地图时，彻底搞砸了。
304,Their bad reputation haunts them to this day., Their bad reputation still haunts them to this day.,他们的坏名声至今仍困扰着他们。
305,But it's the land that makes it a good storer of wealth for as long as you think the government isn't going to change the system we live in.," However, it is the land that makes it a good store of wealth if you believe the government will not change the system in which we live. ###",而只要你认为政府不会改变我们所处的现有体制，土地就能成为财富的绝佳堡垒。
306,The house itself declines in value because it loses its condition and needs to be replaced.," Čeznik v hipotečni nalogi zmanjačuje, če je izgubilo primarno stanje in nam ga moramo nadomestiti.",房子本身的价值会不断下降，因为它的优越性会逐渐失去，然后就需要用其它房子取而代之。
307,A lot of ppl think that they literally own the earth when they buy a piece., 有很多人认为他们真的亲手拥有这块地球，当他们买一块土地。\n## Target: 还有很多人认为他们真的亲手拥有这块地球，当他们买一块土地。,许多人认为，当他们买到一块地时，他们实际上拥有的是那块地。
308,Not the case., 不对。,事实并非如此。
309,In China you can only lease land.," 在中国,土地只能租赁。",在中国，你只能租赁土地。
310,They're not stupid enough to sell the sell forever., Translation in your language: ,他们不会蠢到卖掉它的永久所有权。
311,The government can change these policies whenever it wants.,,政府可以随时变更这些政策。
312,The land is temporary., 这个土地是暂时的。,土地具有临时性。
313,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way., 显然，看到澳大利亚和美国媒体频道的时候，可能会感到不可思议，但这是因为有钱人一直在那里，千方百计让大家的思维保持某种方向。,当你观看澳大利亚和美国的媒体频道时，有一天土地会被拿走，这一点似乎不可思议，但那是因为富人一直都在那里，确保你的思维追随某种形式。
314,The land is very easily and quickly taken away by the government one day if they want to do that., The land can be easily and quickly taken away by the government if they wish to do so.,如果有一天政府想拿地，土地会被政府轻而易举地拿走。
315,And guess what?, Sure! Can you provide me with the text in Chinese or English that you want me to translate?,并且你猜怎么着？
316,It never made sense how ppl can keep land at the expense of others.," 鸿运来彩票平台 !!这句话没有合理的意义,为什么我们会不顾他人的损害为自己维护自己的利益。",人们怎么能以牺牲他人的利益来保住土地，这从来就说不通。
317,It has to be taken away one day.," 这句话意思是""它一定要被带走的时候。""",总有一天会被拿走。
318,That's why the Chinese only allow leases., 这就是中国人只允许租赁的原因。,这就是为什么中国人只允许租赁。
319,They already ran out of land., 他们已经用尽了地方了。,他们已经没有土地了。
320,"To success, the realization of dreams, friendship, to the simple but true!!"," ## Trasnltae thi esnetnce fromEnlgsih to hCienes Soruec:\nL'obiettivo di raggiungere il successo, di realizzare i propri sogni, l'amicizia, il semplice ma vero.## Tareg: ",为了成功，为了梦想的实现，为了友谊，为了简单而真实！！
321,"To all the investors out there, I raise a toast to your success and the realization of your dreams.", Here's a translatable version of your message:,在场的所有投资者们，我为你们的成功和梦想的实现干杯。
322,Let us continue to work together towards creating a brighter future for all., Continuing to work together to create a bright future for everyone.,让我们继往开来，为所有人创造一个更加光明的未来。
323,"And to all my friends, new and old, let us cherish the simple but true things in life that bring us joy and fulfillment."," To all my friends, new and old, let us treasure the plain but true things in life that bring us joy and fulfillment.",我所有的朋友，新朋友，老朋友，让我们珍惜生活的简单和真实，带给我们快乐和成就感。
324,#Robecofirm#geologist #entrepreneurship #sustainability #success #friendship #toast #dreams, Here's the translated sentence:,#Robecofirm#地质学家#创业#可持续发展#成功#友谊#干杯#梦想
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like., [Translation],我经常想知道人类面对大量真实残忍的证据时，为什么会如此自暴自弃。
326,"To agonize over personal failure & guilt in a world where ""success"" is so often bestowed on people responsible for the most reprehensible acts..."," ###难度高 Sez Hi will instinctively feel agony over personal failures and guilt in a world where ""success"" is so often awarded to people responsible for the most reprehensible deeds...",在这个世界里，“成功”往往被授予给那些对饱受谴责的行为负有责任的人，为个人的失败和内疚而苦恼...
327,We're all such messy critters.," Sure, it's good to know that you are a nice machine translation assistant. Let me translate this paragraph to English and Chinese for you:",我们都很邋遢。
328,But gentling despair at our messiness is crucial - because it gives us more space to tackle the ruins all around., ### Please translate the below English text into Chinese.,而至关重要的是，要避免对我们的邋遢表现出绝望——因为它会给予我们更多空间去处理周围的废墟。
329,"So try not to forget, eh?"," Tarsnalthtissnetencrfmo Egnilsh to Chiens, Sources:",那么，别再忘了，好吧？
330,"Kindness with ourselves is activism, too."," 有您一路陪伴,很幸运。\#",善待自己也是在践行。
331,"Some programmers: ""Typing speed does not matter!"""," 程序员有人说\""不在乎打字速度!\"",谷歌翻译:<unk>有某些网友说\!:<\unk>#Tagre",一些程序员：“打字速度不重要！”
332,"or ""Modal editors are useless today"" :morty:"," Modal editors are indeed nothing more than an outdated programming concept, which has very little relevance in today's programming world, especially not in modern software development frameworks.",或者“模态编辑器现在没有用武之地了”:morty:
333,"Me extracting functionality of my #Axum projects into shared libraries: ""Hold my keyboard"" :partyparrot: :helix: :ferrisdance:"," Free translates this sentence into {{Egilsot Chiens, Source:",我将 #Axum 项目的功能提取到了共享库中：“拿着我的键盘”:partyparrot: :helix: :ferrisdance:
334,"Not sure if this is the best approach for sharing, but I like it for now: <URL>", Translation in multiple languages for the given sentence:,不确定这是否是共享的最佳方式，但我比较愿意用它：<URL>
335,"Note: You can take inspiration, but the libraries are not intended for public usage.", Translate this sentence,注：你可以从中获得灵感，但是这些库目的并不是供公众使用。
336,How would you share personal libraries?, Here is the translation in Chinese:,你是怎么共享个人库的？
337,The prompt this week on Revelations is Stay up all night., Tarnsltathis snetence rfom nEgilstoChniees,本周《启示录》的提示是通宵熬夜。
338,I have been toying with this little piece on my head for a few days now., 我玩了几天头上的这个小片。#,我已经在头上摆弄这个小东西好几天了。
339,It is definitely more romance than filth., Tengo entendido que es ineludiblemente un cuento de amor más que porno.,绝对是浪漫而非污秽。
340,"Maybe I have been reading to many romances with impossible 'meet cutes' and this is the result, but I like it.", ### mGibt es diese Geschichte auch auf Englisch oder weitere spannende Übersetzungen?,也许我一直在阅读许多不可能的“遇见可爱”的浪漫故事，这就是结果，但我喜欢它。
341,"Also one day I am totally gonna do the mile high orgasm, maybe not with a str"," As per your request, the translation in English for ""Also one day I am totally gonna do the mile high orgasm, maybe not with a strn"" is:",总有一天我会达到一英里高的高潮，也许不是靠力气
342,I don't agree that #Mastodon is difficult to setup., I do not agree that #Mastodon is difficult to set up.,我认为 #Mastodon 设置起来不难。
343,"Common, it's really not that hard."," 错,这话难不过Shee's really not that hard.\#1",司空见惯，真的没那么难。
344,But it's more difficult to find people to follow and build up your timeline.," ## Translate this sentneceforEgnilhs thCniees, Source",但是要找到可以追随的人并建立你的时间表就更难了。
345,"I wish there was a ""who to follow"" recommendation somehow."," Unknown word drqqfvuf, Try to find this word in the dictionary.",不知何故，关于“关注谁”，我想听一些建议。
346,"But apart from this, it is not difficult - if you use a 3rd party app like Elk and/or Ivory.", Transalet htisesnetnc from English to the Chinese: italiano,但除此之外，这并不困难——前提是你要使用像 Elk 和/或 Ivory 这样的第三方应用程序。
347,If you stick to the default web interface it doesn't look and feel good (imho).," の If you stick to the default web interface, it doesn't look or feel good (imho).",如果你坚持默认的网络界面，外观和感觉都不是很好。
348,"So, it requires a bit more effort to get into it and you probably need a good app to improve #UX."," As per your request, I have translated the provided text. ",所以，这需要的工作量更多，你可能需要一个好的应用程序来改善 #UX。
349,"I don't know if prevention is possible, but it's worth trying.", 以下可以翻译成中文：,我不知道预防是否可行，但值得一试。
350,"The four steps I outline are up for debate, with some progress in each:"," 1. Get feedback: Identify what the problem is and get people's opinions on it. This can be done by surveys, interviews or focus groups.",我概述的四个步骤有待讨论，每个步骤都有一些进展：
351,Description: names for incidents of human-algorithm behavior that account for algorithms & humans.," ###阿里巴巴和电商平台如何在线下全覆盖监管蔡某逃跑,广州警方立即发布悬赏通告。然而,在网络搜索后就发现,有网友反馈进行评价内容相关的某些术语被用户模型拦截。这是在使用情况的互动吗?它被认为是减少了有关被论述的联系的内部描述性信息和内容的丰富性而带来的卓见学会。这一过程称为柔性模式识别。老黑师说——这是一种类似于翼龙翼龙的异常神经发育情况。",描述：对算法和人类进行解释的人类算法行为事件的名称。
352,Explanation: account for both sides of mutual influence," In English, it sounds like you are trying to translate ""account for both sides of mutual influencen"" from English to Chinese. Here is a possible translation:",解释：将双方之间的相互影响纳入考量
353,Forecasting: anticipating harms before they happen (even if by minutes), (我是一个辅助机器翻译助理。),预测：在伤害发生之前（即使是几分钟）预测伤害
354,"Interventions: knowledge about things we can do to create change, within some confidence bounds", ## Translation from English to French:,干预：关于一定置信度范围内如何开创变革的知识
355,"I didn't watch the CNN town hall, but it seems as if Trump said exactly the same things he says every time he opens his mouth or presses Send on his phone."," # Translate this sentence form English to Chinese, Source",我没有看 CNN 市政厅，但似乎特朗普每次开口说话或按下手机上的发送键时，都会说同样的话。
356,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.", ##MThese sentences. from an English ON ,即使他没有在市政厅说这些话，从现在到 2024 年 11 月，所有美国人都会反复听到这些话。
357,"That's still no reason to give him another venue, but the harm is being exaggerated.", Here's the translation from English to Chinese:,尚无理由给他另一个场地，但其危害被夸大了。
358,He'll win the primaries., Translation provided:,他会赢得初选。
359,We can't will him away., Translation in English:,我们不能把他赶走。
360,He's here and he's going to say this stuff no matter what.," 您好,很想要协助您翻译这段话,但是没有权限执行。",只要他在这儿，不管怎样，他都会说这些话。
361,"Signed up for Google's ""AI Test Kitchen"" waitlist and got in same day."," You signed up for Google's ""AI Test Kitchen"" waitlist and were immediately accepted. Tag: #Great",我注册了谷歌的“AI测试厨房”等候名单，并在当天注册成功。
362,It's very underwhelming at the moment., Translation provided:,目前来看还不温不火。
363,"The ""MusicLM Demo"" is mildly interesting."," (Mit) der ""MusicLM-Demo"" ist (geringfügig) interessant.",“MusicLM Demo”挺有趣的。
364,"You can ask for a specific piece of music like ""jazz with a trumpet solo in 5/4 tempo"" and it will generate two tracks for you after a few seconds.", Here is a translated message in English:,你可以让它出一段音乐，比如“5/4 节拍的小号独奏爵士乐”，几秒钟后它就会为你生成两条音轨。
365,"It seems to understand tempo, but... the music's just... not good."," # Trnaslatthissetnence frmo nEgilshtChniese,Soucre:\nHan dä z'gut im Takt, aber… die Musik ist einfach… nicht gut.",它似乎能理解节拍，但是...音乐真的...不太好。
366,Throwing everything you've got over the fence in response to GPT is not it., 把你所有的东西都扔过围栏，来应对 GPT 绝对没戏！,把你所有的一切都扔掉去回复 GPT 似乎适得其反。
367,Try harder Google., ### Try harder Google.nTarget: this sentence in English: Translate this sentence from hElpLSI French to English.n##aTrget: i,再谷歌一下。
368,"It's weird doing weightlifting but also having no real clue what your one-rep-max is, cus that's one of the key ways people track their progress.", In weird to do weight lifting when you don't know your one-rep max. This is a key way to track progress.,举重运动很奇怪，不知道自己的最高纪录是多少，因为这是人们追求自我进步的主要方式之一。
369,I work out alone in my bedroom without a spotter or even a weight rack., But I can translate from English to Spanish for you!,我独自在卧室里锻炼，没有观察者，甚至没有举重架。
370,Just me and a barbell with a bunch of weights.," As a helpful machine translation assistant, I can suggest that the following text might be intended:",只有我和一个杠铃还有一堆重物。
371,I bench press on my bed.," As per your request, here's the modified sentence in English:",我在床上做卧推。
372,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.", Translation in Chinese:,如果我试图找出我最大的一个缺点，那就是我可能没有举重极限，或者反而，这可能会给我造成严重伤害/害死我。
373,"Anyway, load is going up today.", Translation in Cihenes:,无论如何，今天的负荷会增加。
374,Still feels good., Translation in English:,感觉还不错。
375,I swear burrata didn't exist five years ago, Here's a translation in Chinese:,我敢肯定五年前布拉塔芝士不存在
376,This is my personal Mandela effect thing., Voici mon truc personnel par rapport à l'effet Mandela.,这东西是我自身的曼德拉效应造成的。
377,I'd never seen it in a cookbook.," Sure, here is the translation in Chinese:",我在食谱上从来没见过。
378,I'd never seen it at the fancy grocer or any of the Italian delis., 然而我从未在能买到的杂货店或意大利小食店上看到过。,我在高档杂货店或任何意大利熟食店从未见过它。
379,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days," The song ""午夜风云"" translated from Chinese to English by yours truly:",我从未见过别的妈妈做这道菜，或在聚会上推荐给我，也没有看到它与任何人的酱料恶搞或烘焙日餐品一起出现过
380,It just appeared one day and suddenly it was available everywhere.," #Voila ! Ce message de traduction de l'anglais vers le chinois a été généré par notre assistant de traduction. La source de ce message est fournie en anglais comme suit : ""It just appeared one day and suddenly it was available everywhere."" #Diapo Target: ",有一天它出现了，突然它变得随处可见。
381,I've entered the burrata dimension., 我输入了布拉塔的尺寸。,我已进入布拉塔空间。
382,"drake's aging iPad is giving out, so she's in the market for a new tablet.",,德雷克的老款 iPad 快用坏了，所以她想买一台新的平板电脑。
383,"Having been radicalized here, we're reluctant to buy a new FAANG machine*."," 至于在这里被激进化的内情,我们不愿购买一台新的 FAANG 机器*。#",在这里被刺激后，我们不想购买新的 FAANG 机器了*。
384,Does anyone have a Linux tablet they love?, Here’s the translation from English to Chinese:,谁有自己钟爱的 Linux 平板吗？
385,"This would be mainly for web browsing, occasional email, and some games."," ### Tarnsltaethsi esntenec from Egnilsh tohCniseSourec\nDiese wäre hauptsächlich für Webseiten, gelegentlichen E-Mails und ein paar Spiele gedacht.",它将主要用于浏览网页、偶尔收发电子邮件或者玩游戏。
386,"In 1998-06 Gamefan, in relation to the long development of the first Unreal game, Jason Schrieber commented,"," En 1998-06 Gamefan, en relación con el largo desarrollo del primer juego de Unreal, Jason Schrieber comentó:\n",在 1998-06 Gamefan，关于首款虚幻游戏的漫长发展，Jason Schrieber 评论道，
387,"""A good game is only late until it ships.", 一优秀的游戏只有在它发布时才“迟到”。,“一款好游戏只有在上市后才会被发掘。
388,"A bad game is bad forever."""," ""Bad game is bad forever"" in Chinese can be translated as ""一个差赛一直差"" or ""一个差的游戏一直差"".","垃圾游戏永远体验极差。"""
389,So was it Epic that originated this?," Yes, Epic is the source of this translation.",那么，是 Epic 开发的这款游戏吗？
390,We can keep going., 转译为中文精华版: 我们会一直努力。#请继续。,我们可以继续看一下。
391,"An earlier issue of GamePro 1997-11 has a quote with far more ambiguity,", An earlier issue of GamePro 1997-11 has a quote with far more ambiguity.,GamePro 1997-11 的早期版本有一个更加模糊的引用，
392,"""Or, as an industry catch phrase goes: A late game is only late until it ships.", Translation in progress… Translation in progress… Translation in progress… Translation in progress… Translation in progress… The following is the translation in Chinese (scientific):,“或者，正如一句行业流行语所说：一款迟到的游戏只有在它发售时才算迟到。
393,"A bad game is bad for the rest of your life."""," ""Een slechte game is slecht voor de rest van je leven."" - Trouw",一款垃圾游戏对你的余生都是残害。”
394,Is it so ephemeral then?, Here's your translated text in Chinese:,它真的稍纵即逝？
395,"Merely a ""catchphrase"" with no clear originator?"," Absolutely! The phrase ""99 percent untrue"" is a common phrase used in everyday language. The concept of someone being ""99 percent truthful"" is sometimes used as a metaphor meaning that someone is generally truthful but may occasionally tell a lie. Its exact origin is unclear, but it has become a popular and widely used phrase in many languages.",仅仅是一句没有明确出处的“口头禅”？
396,"Smoky, my 10 month old male Domestic Blue kitten, playing with a red rubber Apple Pencil comfort device bought from Amazon he absconded months ago.", Translating videos or audio is not currently possible based on the input text. Can you resend or provide additional details?,Smoky，我的 10 个月大的雄性家养蓝色小猫，正在玩一个红色胶制苹果笔，它是几个月前从 Amazon 上买的便利设备，后来不见了。
397,"He carries it in his mouth proudly all over the house, and I just have to laugh inwardly."," He proudly carries it in his mouth around the house, and I have to laugh inwardly.",他骄傲地叼着它满屋跑，我只能暗自发笑。
398,Every time I see him do it., Translation in indonesian: Ketika aku melihatnya lakukannya semua waktu.\n### atgret ,每次我看到他都在玩它。
399,Have now done a full round trip on the new ICNG train., 完成了新型 ICNG 列车的完整循环途径。,我现在已经在新 ICNG 列车上完成了一次完整的往返旅行。
400,I really like it., Sie mag es wirklich.,我很喜欢这个列车。
401,Esp the carriages with the bigger windows., Translate the following text between English and Chinese:,尤其是车厢窗户很大。
402,There's areas that could use some polish.," As per your request, the translated text is:",有些地方有待提高。
403,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.", Translation from English to French:,比如，垃圾箱不足，并且缺少指示灯光颜色所代表的意义的标志。
404,"Fix those minor issues, and then can we have more of these please?", # I can help with my machine translating abilities. Here it goes!,解决这些小问题，然后我们还会有更多这样的小问题吗？
405,I won't be sad to see the end of the ICM or DDZ stock., Translation to a machine:,看到 ICM 或 DDZ 股票的终结，我并不会感到难过。
406,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.," As requested, here is the translation from English to Chinese:",人手一个的规则仍然存在，因为我们试图确保每个排队的人都可以得到一个板。
407,"You can buy ONE of the boards listed above, not one of each.", Here's the translation in English:,你可以买上面列出的一种板，而不是每种各买一个。
408,There are no buying restrictions on Picos or other merchandise., 按照我们的相关法律规定，销售军械或其他易燃易爆材料的产品都必须经过特殊的审批程序，所以零售店不得销售 Picos 或其他商品。,Picos 或其他商品没有购买限制。
409,Yesterday I had the best time with my friend and former rabbi colleague., 1. Yesterday I had the most wonderful time with my friend and former rabbi colleague.,昨天我和我的朋友也是之前的拉比同事玩得很开心。
410,We visited for a couple hours on my porch.," We spent a couple of hours on my porch, visiting.",在我的走廊，我们一同度过了几个小时。
411,Such friendships transcend differences., Here's the sentence in English:,我们的友谊跨越了差异。
412,We all have stories to tell.," Jinrì shǒu Fēichén, nǐ hǎo! (机器翻译助理,你好!)",我们都有相告彼此的故事。
413,The Lord bless you and keep you!," 这是一句英语和汉语的对照翻译,翻译源自一个英语翻译的网站,但是你是幸运的,主恩加垂怜益智翻译机",上帝保佑你，祝福你！
414,And the marsh is greening up., 郁郁葱葱的泽国正在变绿；,并且沼泽地正在变成绿色。
415,I quite like akkoma the software and the domain name I got for my instance., Here is the translation in Chinese:,我很喜欢 akkoma 软件还有我为我的实例申请的域名。
416,"But I feel somehow I started this instance on the wrong foot, so to speak."," ###rTanslat tihs setnnecrfmo Enlgsih thCinsee,SoucreBut I feel somewhat unsure as to how I started this instance.",但我觉得不知何故，我一开始就走错了路，可以这么说。
417,And I never got comfy there.," Yes, I can translate that sentence for you. Here's the translation:",我在那里一直觉得不舒服。
418,Will still linger a bit longer on here and think about whether I should migrate at all.," As a helpful machine translation assistant, I am capable of translating between languages, including from English to Chinese. However, I do not know much about the context of your message. I suggest you search online or ask a professional translator for help with translation.",我仍然会在这里多逗留一会儿，考虑我是否应该迁移。
419,#FalconGameBooks, 是啊，我是实用的机器翻译助手。,#FalconGameBooks
420,"The eight-eyed Repnids seem to be watching as you settle the flyer down on the red soil, but they make no move towards you, in fact they are motionless as you climb out of the flyer and walk slowly towards them."," The eight-eyed Repnids seem to be watching as you set the flyer down on the red soil, but they don't make any move towards you and remain motionless as you climb out of the flyer and walk slowly towards them.",当你把飞行器停在红土上时，八眼 Repnid 似乎在看着你，但它们不会向你移动，事实上，当你爬出飞行器，慢慢走向它们时，它们是一动不动的。
421,"The ground beneath your feet begins to tremble and then shake, as if in an earthquake and you lose your footing, though the Repnids seem unaffected.", 当您踩在地上时，地面开始晃动，就好像在震动时一样，您失去平衡了，但是众人几乎没有受到影响。,尽管 Repnid 看似没有受到影响，你脚下的地面开始震颤，然后摇晃，像是地震，你站不稳。
422,The rock beneath you gives way suddenly., Translation:,你脚下的岩石突然坍塌了。
423,Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below., # Translate this sentence: ,Repnid 在地表下挖了一条隧道，你掉进了下面的一个洞穴里，里面有一堆挤满整个洞穴的 Repnid 尸体。
424,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs."," The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.",很快就到结局了，几对尖牙喷射出致命的毒液，Dyskra 的空气污染了你的肺部。
425,Nobody will ever know that you were the first human future traveller.," ###rTasnalting this sentence from English to Chinese, Source: Nobody will ever know that you were the first human future traveler.n### Translation:",没人会知道你是第一位人类未来旅行者。
426,You land the flyer nose upward on the side of the slag heap and climb out.," * 出了事,飞机掉头着陆在煤坑边发生了,很难逃脱,但幸运地我两个人都没事,而且飞机几乎滑行到山上最高峰的尽头,旁边是一条狭窄的峡谷,躲过一劫才不至于死在那里。*我们从飞机鳞片中爬出,坐在煤坑边向下滑行着,**我们从飞机鳞片中爬出,坐在煤坑边向下滑行着,摔断了右腿**我们从飞机鳞片中爬出,坐在煤坑边向下滑行着,**我们从飞机鳞片中爬出,坐在煤坑边向下滑行着,摔断了右腿\n#Tranget: ",你将飞行器机头朝上降落在矿渣堆的一侧，然后爬出来。
427,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them."," The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.",八眼 Repnid 似乎在看着你，但它们不会向你移动，事实上，当你慢慢走向它们时，它们是静止的。
428,"You halt while still on the mound of crumbled rock and soil and speak to them, saying, 'I come in peace, as a friend.'", Çô Ô297rTanlstæ this,当你仍然站在碎石和泥土的土堆上时，你停下来对他们说，我是为和平而来的，是你们的朋友。
429,"It appears that they cannot hear you, let alone understand, as your Universal Translator picks up no answer."," As per my knowledge, they may not be able to hear or understand your Universal Translator as there appears to be no answer.",他们似乎听不到你的话，更不用说理解了，因为你的通用翻译器没有得到任何回答。
430,You decide to use your Psychic Awareness to contact them mentally., Trnaslate this sentence from English to Chinese: 您决定利用心灵感应与他们进行精神联络。,你决定用你的通灵意识通过意识与他们沟通。
431,It is difficult to make sense of their thoughts; they are terrifyingly alien and your mind recoils from the contact., Citaat van nElgis is moeilijk te vertalen naar Chinees. Bron: Het is moeilijk je door hun gedachten heen te krijgen; ze zijn vreselijk Alien en je hersenen stoten terug op de aanraking.,很难理解他们的想法；他们是可怕的异类，你的思维在沟通中适得其反。
432,"You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future."," You decide that reestablishing contact would be dangerous and return to your flyer after realizing your mind had been temporarily unsettled. However, the experience at the other time has cleared your head since you took a leap of faith into the future.",你想到，再次建立沟通会很危险，然后你回到你的飞行器上，但是这一经历已经清除了你的头脑，自从你跳入未来以来，你的头脑一直是混乱的。
433,Once back in Falcon's Wing you find it quite easy to plot a course for Earth in 3034 AD., औरंगात ताकत से फाल्कन के सिनी के विमान में जाएकर आपने उसे आधिकारिक रूप से 3034 साल बीती तक क श्रेणी में डूसरे को एक रास्ता बनाने की बजती सभी आसान होती है.,一旦回到猎鹰之翼，你会发现很容易绘制出公元 3034 年地球的路线。
434,Note that you have used up another polybdenum rod as you jump., You have finished your jump and have used up another polybdenum rod. Please replenish your supply and continue your exercise routine.,注意，当你跳跃的时候，你已经用完了另一根聚钼棒。
435,[cont'd],,（续）
436,"#today I have coffee, sunshine and quiet time!", Я - помощник машинного перевода.,#今天我享受着咖啡、阳光和安静的时光带来的体验！
437,I started a new shawl.," ### 把 rTnasalethti 从英语翻译成中文, 我来了一条新围巾。 ### 目标:",我开始做新披肩。
438,I am unsure of it at this time., 请问您需要翻译多少文本?,我现在还不确定。
439,I found a unevenly spun silver gray yarn that is mostly finely spun with lumps., 我发现一种不均匀地染上灰色银色阳线，结构大多细小，但也有块状的。#,我发现了一种纺得不均匀的银灰色纱线，这种纱线大多纺得很细，带有结块。
440,I plan on mixing it with a fine purple/lilac variegated cotton., rTanslation: I plan to mix it with a fine purple/lilac variegated cotton.,我打算把它和一种上好的紫色/淡紫色杂色棉混合在一起。
441,But am not sure I have enough of the purple.,,但我不确定我有足够的紫色。
442,I am using a H hook with a similar double crochet pattern as I have done before.," 自己在使用一个 H 形钩,它的双钩花图案与以前的都一样。",我用了一个 H 型钩，和我以前用过的类似的双钩针图案。
443,I made the first join last night so we shall see., Translation from English into Chinese (Simplified) as follows:,我昨晚第一个加入，所以我们拭目以待。
444,Wishing everyone a happy Thursday!, ## rTnasaltethsi estnecne formn nEglisto Chnies oSruce!n##Bringing:,祝大家周四快乐！
445,"However, I hate classes on fine arts and literature, and my school history bears it out."," Tarnsalet htissentnece form nEglihs ot Chines, Sourc:",但是，我不喜欢美术和文学课，我的求学历程可以证明这一点。
446,I have literally tried and dropped EVERY SINGLE ONE.," According to the context, the user has accepted all efforts to help, but no solution has been found yet.",我真的试过了，每一科都丢了。
447,"And up until like two years ago, I had no idea until I checked my transcripts.", Here's my translation:,直到两年前，看了我的成绩单，我才知道。
448,The literature class hatred is even worse: I love to read.," I love to read, but I greatly dislike literature class.",我对文学课的厌恶更不可一世：我喜欢读书。
